Time ,epoch,stage,train loss,accuracy
47:02.3,1,0.9104,0.378087878,90
47:03.6,1,0.912,0.192851871,92.5
47:04.9,1,0.9136,0.473718941,77.5
47:06.2,1,0.9152,0.295163661,92.5
47:07.5,1,0.9168,0.28864032,90
47:08.8,1,0.9184,0.12845704,97.5
47:10.1,1,0.92,0.312732995,87.5
47:11.4,1,0.9216,0.296663046,90
47:12.7,1,0.9232,0.193177253,92.5
47:14.0,1,0.9248,0.166355327,97.5
47:15.3,1,0.9264,0.536965549,87.5
47:16.6,1,0.928,0.176054955,92.5
47:17.9,1,0.9296,0.233082578,90
47:19.2,1,0.9312,0.276723266,90
47:20.5,1,0.9328,0.426624596,85
47:21.8,1,0.9344,0.322924197,87.5
47:23.1,1,0.936,0.28247261,90
47:24.4,1,0.9376,0.455800056,85
47:25.7,1,0.9392,0.226920694,90
47:27.0,1,0.9408,0.208437234,95
47:28.3,1,0.9424,0.176629752,92.5
47:29.6,1,0.944,0.317509592,87.5
47:30.9,1,0.9456,0.204046562,92.5
47:32.2,1,0.9472,0.085522175,97.5
47:33.5,1,0.9488,0.206091478,90
47:34.8,1,0.9504,0.248154759,90
47:36.2,1,0.952,0.156098217,92.5
47:37.5,1,0.9536,0.353627622,90
47:38.8,1,0.9552,0.133304298,95
47:40.1,1,0.9568,0.097900331,97.5
47:41.4,1,0.9584,0.354607165,85
47:42.7,1,0.96,0.290590078,90
47:44.0,1,0.9616,0.407337576,90
47:45.3,1,0.9632,0.284345984,82.5
47:46.6,1,0.9648,0.337907344,90
47:47.9,1,0.9664,0.249322847,92.5
47:49.2,1,0.968,0.290108174,87.5
47:50.5,1,0.9696,0.348701298,87.5
47:51.8,1,0.9712,0.326387912,87.5
47:53.1,1,0.9728,0.46836558,85
47:54.4,1,0.9744,0.227418095,92.5
47:55.7,1,0.976,0.641703427,80
47:57.0,1,0.9776,0.201508373,90
47:58.3,1,0.9792,0.332226723,90
47:59.6,1,0.9808,0.255470067,95
48:00.9,1,0.9824,0.292702556,90
48:02.2,1,0.984,0.29815191,92.5
48:03.6,1,0.9856,0.242595404,95
48:04.9,1,0.9872,0.366295278,87.5
48:06.2,1,0.9888,0.220466852,92.5
48:07.5,1,0.9904,0.359247029,90
48:08.8,1,0.992,0.173612133,95
48:10.1,1,0.9936,0.136208832,95
48:11.4,1,0.9952,0.304485768,90
48:12.7,1,0.9968,0.185997292,95
48:14.0,1,0.9984,0.115232751,92.5
48:15.3,1,1,0.280067176,95
48:16.6,2,0.0016,0.32456556,87.5
48:17.9,2,0.0032,0.23478663,92.5
48:19.2,2,0.0048,0.147029385,95
48:20.5,2,0.0064,0.277917951,90
48:21.8,2,0.008,0.179890841,92.5
48:23.1,2,0.0096,0.224163741,92.5
48:24.4,2,0.0112,0.417383909,87.5
48:25.7,2,0.0128,0.200013727,92.5
48:27.0,2,0.0144,0.176021039,90
48:28.3,2,0.016,0.118003644,95
48:29.6,2,0.0176,0.28237474,90
48:30.9,2,0.0192,0.223012954,95
